GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EncryptDecryptFixed,org.example,FileManager,58,0,2,0,15,0,4,0,3,0
EncryptDecryptFixed,org.example,Main,51,0,10,0,16,0,7,0,2,0
EncryptDecryptFixed,org.example,Config,111,0,9,0,23,0,15,0,8,0
EncryptDecryptFixed,org.example,TextProcessor,88,0,10,0,13,0,9,0,4,0
